Rank,Index,Answer
1,8079,"If your financial needs aren't complex, and mostly limited to portfolio management, consider looking into the newish thing called robo-advisers (proper term is ""Automated investing services"").  The difference is that robo-advisers use software to manage portfolios on a large scale, generating big economy of scale and therefore offering a much cheaper services than personal advisor would - and unless your financial needs are extremely complex, the state of the art of scaled up portfolio management is at the point that a human advisor really doesn't give you any value-add (and - as other answers noted - human advisor can easily bring in downsides such as conflict of interest and lack of fiduciary responsibility).  disclaimer: I indirectly derive my living from a company which derives a very small part of their income from a robo-adviser, therefore there's a possible small conflict of interest in my answer"
2,601,"If you are looking for an advisor to just build a portfolio and then manage it, a robo-advisor can be beneficial (especially if the alternative is doing it your self, assuming that you are not well versed in the markets). The primary risk with one is that it does not build a portfolio that accurately represents your needs and risk tolerance. Some firms base the number of questions they ask you on sign up based not on what is needed to get a good profile, but on how many before people decide that it is too much hassle and bail. That usually results in poorer profiles. Also a live advisor may be better at really getting at your risk tolerance. Many of day our risk tolerance is one thing but in reality we are not so risk tolerant.  Once the profile is built. The algorithms maintain your portfolio on a day by day basis. If rebalancing opportunities occur they take advantage of it.  The primary benefit of a robo-advisor is lower fees or smaller minimum account balances. The downside is the lack of human interaction and financial advise outside of putting together a portfolio."
3,10050,"Yes, there is a profession that does exactly what you're looking for.  It's called a fee-only financial advisor. These are professionals who (in the United States) enter into a fiduciary relationship with a client, meaning they are legally required to put your financial interests above all other considerations (such as any behind-the-scenes incentives to promote certain products).  Between that requirement and the fact that they are paid for their time (and not on commission), they have zero incentive to try to sell you anything that you do not need.  Their only job is to help you with your financial situation.  (Of course, some of them may be better than others.) See the profession's website here to find such an advisor near you. (Credit to Marketplace Money, the old name for Marketplace Weekend, for mentioning fee-only advisors at least 87 times per show.)"
4,8080,"Most individuals do not need a personal financial advisor. If you are soon entering the world of work, your discretionary investments should be focused on index funds that you commit to over the long run. Indeed, the best advice I would give to anyone just starting out would be: For most average young workers, a financial advisor will just give you some version of the information above, but will change you for it. I would not recommend a financial advisor as a necessity until you have seriously complicated taxes. Your taxes will not be complicated. Save your money."
5,7148,"At 1.4 Million, you can definately afford a professional advisor who would give you the best advice taking into account all your goals and risk appetite."
6,10894,"Any fee based financial adviser should be able to help you. I don't think you need to worry about finding a 401K specific adviser. I'm not even sure that's a thing. A good place to start is the National Association of Personal Financial Advisors. The reason I specifically mentioned a fee based adviser is that the free ones are working on sales commissions, which may influence them to give advice that is in their own best interest more than yours."
7,7265,"If you don't have the time or interest to manage investments, you need a financial advisor.  Generally speaking, you're better served by an advisor who collects an annual fee based on a percentage of your account value. Advisors who are compensated based on transactions have a vested interest to churn your account, which is often not in your best interest. You also need to be wary of advisors who peddle expensive mutual funds with sales loads (aka kick-backs to the advisor) or annuities. Your advisor's compensation structure should be transparent as well."
8,9446,"Others have mentioned the term fiduciary but haven't really gone in to what that is. Despite the name ""financial advisor"" there is no legal (In the US) mandate as to what that means.  Often times a financial advisor is little more than a sales rep whose job it is to sell particular financial instruments.  These people will give you good generic advice such as ""make sure you have a nest egg"" and ""don't spend more than you make"".  However when the rubber hits the road in terms of how to save they will often recommend/insist/pressure a particular asset/security which doesn't necessarily meet your risk/reward preference/tolerance.  Often times the assets they pitch have high fees.  These people won't charge you for their time because their time is a loss leader for the commissions they make on selling their products. In contrast a fiduciary's job responsibility is to look out for your interests.  They shouldn't receive any kind of payment based on what assets you buy.  This means that you have to pay them for their time. The NAPFA website seems to have good ideas on choosing an advisor. http://www.napfa.org/HowtoFindAnAdvisor.asp"
9,1751,"You need to find a fiduciary advisor pronto. Yes, you are getting a large amount of money, but you'll probably have to deal with higher than average health expenses and lower earning potential for years to come. You need to make sure the $1.2 million lasts you, and for that you need professional advice, not something you read on the Internet. Finding a knowledgeable advisor who has your interests at heart at a reasonable rate is the key here.  These articles are a good start on what to look for: http://www.investopedia.com/articles/financialcareers/08/fiduciary-planner.asp https://www.forbes.com/sites/janetnovack/2013/09/20/6-pointed-questions-to-ask-before-hiring-a-financial-advisor/#2e2b91c489fe http://www.investopedia.com/articles/professionaleducation/11/suitability-fiduciary-standards.asp You should also consider what your earning potential is. You rule out college but at 26, you can have a long productive career and earn way more money than the $1.2 million you are going to get."
10,8542,"That your asking is a good first step towards taking control of your future. But truly, you must seek the advice of a personal consultant that is much more in tune with your finances that anyone out here in the public will be.  You can get this type of advice locally, or if you want something online, I suggest oDesk or something similar to find a large pool of people and to efficiently find the right person for suited for your situation."
11,7268,"In my experience financial advisors do not normally assist with budgeting and personal everyday finance. There certainly are people who do that, but you would normally only consult them when you have financial difficulties, especially debt. The more common find of financial advisor is mostly focussed on advising you about savings and investments. A lot work for banks and investment companies. They will usually advise you for free, the downside being that they will only recommend their company's products. This may or may not be a bad thing, depending on the company. Others will charge you a commission on purchases, and their advice will be more neutral. This question will also be interesting: Are all financial advisors compensated in the same way?"
12,10802,"The way this works, as I understand it, is that financial advisers come in two kinds. Some are free to recommend you any financial products they think fit, but many are restricted in what they can recommend. Most advisers who work for finance companies are the second kind, and will only offer you products that their company sells. I believe they should tell you up front if they are the second kind. They should certainly tell you that if you ask. So in essence, your Scotiabank advisor is not necessarily making bad decisions for you - but they are restricted in what they will offer, and will not tell you if there is a better product for you that Scotiabank doesn't sell. In most cases, 'management fees' means something you pay to the actual managers of the fund you buy, not to the person who sells you the fund. You can compare the funds you are invested in yourself, both for performance and for the fees charged. Making frequent unnecessary changes of investment is another way that an advisor can milk you for money, but that is not necessarily restricted to bank-employed advisors. if you think that is happening to you, ask question, and change advisors if you are not happy."
13,9441,"Whether your financial status is considered ""OK"" depends on your aspirations.  You aren't spending more than you earn and have no debt.  That puts you in the category of OK in my book, but the information in your post indicates that you would benefit from some financial advice--100 grand sounds like a lot of money to have in a bank unless you are on the verge of spending it. Financial advisors come in various shapes and sizes.  Many will charge you a lot for what turns out to be helpful advice in the first meeting, but very little value-added thereafter.  Some don't have the best incentives (they may be incentivized to encourage you to put your money into certain funds, for example). There are many financial advisors (of sorts) that you have access to that won't cost you anything.  For example, if you have a 401(k) at work, I bet there is a representative from the plan administrator that will meet with you for free.  If you open a brokerage account or IRA at any place (Fidelity, Vanguard, etc.) you can easily talk with one of their reps and get all sorts of advice.  My personal take is to meet with anyone who will meet with me for free, but not to pay anyone for this service.  It's too easy to get good advice and paying for it doesn't guarantee that you get better advice. Your financial situation will depend primarily on a few things you have not mentioned here.  For example, How much are you setting aside for retirement and what are your retirement goals?  This is something lots of people can give you advice on, but we don't know what market returns will be going forward so we don't really know.  One bit of advice that may benefit you is how to set aside money for retirement in the most tax advantaged way. How much do you feel that you need saved up for large expenses?  Thinking of starting a family?  How many months worth of income are you comfortable having set aside? What is your tolerance of risk?  If you put your money in risky assets, you may make more, but you may also actually lose money.  Those are the questions a financial advisor will ask about.  Once you have his/her advice--and preferrably after talking to a few advisors--you can make your own decision. Basically, your options are: Rules of thumb: Save only what makes sense to save in banks given your expected needs for cash. Put a lot in tax advantaged accounts (don't give Uncle Sam any gifts). Then look at financial and real investments. There are a number of free resources on the internet.  For example FutureAdvisor.  Or you can hit up the forums at BogleHeads.  Those guys give and receive financial advice as a hobby.  They aren't professionals, but you can get a lot of varying ideas and make up your own mind, which to me is better than (just) asking a professional. BTW, regarding the ESPP: these plans often give you a discount on stock and can therefore be a good idea.  Just be sure you don't hold the stock longer than you need to.  It's generally a bad idea to concentrate your wealth in any single investment, especially one highly correlated with your background risk (i.e., if the company does poorly you will already be worse off because you may lose your job or see fewer advancement opportunities. No need to add losses in your savings to that).  1 Please note: I am neither advocating nor discouraging buying guns, gold, or other controversial real assets.  I'm just giving examples of items some people buy as part of their wealth-preservation strategy."
14,3414,"Yes, maybe for themselves, but for you that depends on quite a number of things. But not all advisors are scum, but accept the fact that you are their cash cow and you are there for their takings. Some advisors are true to their professions and advise ethically, trying to get the best for their clients. So search for a good advisor rather than a cheap one. And regarding the mortgage you are talking about, the mortgage provider and the mortgage taker don't deal directly, but use their solicitors. Every party wants the least of legal hassles for their transactions and get the best legal help. The financial advisor maybe both rolled into one or he has legal practitioners in his firm who would do the legal job after he takes care of the financial matters. Seems a cost effective workshop."
15,292,"I think the OP is getting lost in designations.  Sounds to me that what he wants is a 'financial advisor' not an 'investment advisor'.  Does he even have investments?  Does he want to be told which securities to buy?   Or is he wanting advice on overall savings, insurance, tax-shelters, retirement planning, mortgages, etc.  Which is a different set of skills - the financial advisor skill set. Accountants don't have that skill set.  They know operating business reporting, taxes and generally how to keep it healthy and growing.  They can do personal tax returns (as a favour to only the owners of the business they keep track of usually). IMO they can deal with the reporting but not the planning or optimization. But IMO the OP should just read up and learn this stuff for himself.  Accreditation mean nothing.  Eg.  the major 'planner' brand teaches factually wrong stuff about RRSPs - which are the backbone of Canadian's finances."
16,10369,"I thought the Finance Buff made a pretty solid argument for a financial advisor the other day: http://thefinancebuff.com/the-average-investor-should-use-an-investment-advisor-how-to-find-one.html But 1.5% is too expensive. The blog post at Finance Buff suggests several alternatives. He also has the great suggestion to use Vanguard's cheap financial planning service if you go with Vanguard. A lot of investing advice fails to consider the human factor. Sure it'd be great to rebalance exactly every 6 months and take precisely the amount of risk to theoretically maximize returns. But, yeah right. It's well-known that in the aggregate individual investors go to cash near market bottoms and then buy near market tops. It's not that they don't know the right thing to do necessarily, it's just that the emotional aspect is stronger than any of us expect. You shouldn't rely on sticking to your investments any more than you rely on sticking to your diet and exercise program ;-) the theoretically optimal solution is not the real-world-people-are-involved optimal solution. My own blog post on this suggests a balanced fund rather than a financial advisor, but I think the right financial advisor could well be a better approach: http://blog.ometer.com/2010/11/10/take-risks-in-life-for-savings-choose-a-balanced-fund/ Anyway, I think people are too quick to think of the main risk as volatility, and to think of investing as simple. Sure in theory it is simple. But the main risk is yourself. Fear at market bottoms, greed at market tops, laziness the rest of the time... so there's potential value in taking yourself out of the picture. The human part is the part that isn't simple. On whether to get a financial advisor in general (not just for investments), see also: What exactly can a financial advisor do for me, and is it worth the money?"
17,7269,"There are several types of financial advisors. Some are associated with brokerages and insurance companies and the like. Their services are often free. On the other hand, the advice they give you will generally be strongly biased toward their own company's products, and may be biased toward their own profits rather than your gains. (Remember, anything free is being paid for by someone, and if you don't know who it's generally going to be you.) There are some who are good, but I couldn't give you any advice on finding them. Others are not associated with any of the above, and serve entirely as experts who can suggest ways of distributing your money based on your own needs versus resources versus risk-tolerance, without any affiliation to any particular company.  Consulting these folks does cost you (or, if it's offered as a benefit, your employer) some money, but their fiduciary responsibility is clearly to you rather than to someone else. They aren't likely to suggest you try anything very sexy, but when it comes to your primary long-term savings ""exciting"" is usually not a good thing. The folks I spoke to were of the latter type. They looked at my savings and my plans, talked to me about my risk tolerance and my goals, picked a fairly ""standard"" strategy from their files, ran simulations against it to sanity-check it, and gave me a suggested mix of low-overhead index fund types that takes almost zero effort to maintain (rebalance occasionally between funds), has acceptable levels of risk, and (I admit I've been lucky) has been delivering more than acceptable returns. Nothing exciting, but even though I'm relatively risk-tolerant I'd say excitement is the last thing I need in my long-term savings. I should actually talk to them again some time soon to sanity-check a few things; they can also offer advice on other financial decisions (whether/when I might want to talk to charities about gift annuity plans, whether Roth versus traditional 401(k) makes any difference at all at this point in my career, and so on)."
18,13856,"A financial advisor is a service professional.  It is his/her job to do things for you that you could do for yourself, but you're either too busy to do it yourself (and you want to pay somebody else), or you'd rather not. Just like some people hire tax preparers, or maids, or people to change their oil, or re-roof their houses. Me, I choose to self-manage.  I get some advise from Fidelity and Vanguard.  But we hired somebody this year to re-roof our house and someone else to paint it."
19,3447,Find a good financial advisor that is willing to teach you and not just interested in making a commission on your net worth. Talk to them and talk some more. Go slow and don't make impulsive buying decisions. If you don't understand it then don't buy it. Think long term - how do I turn this 250K into 2.5M? Congrats on the savings!
20,5988,"You want CFP or CFA who is also a fiduciary, meaning that by law they have to put your interests ahead of their own. Financial planners who are not fiduciaries can, and often do, recommend investment vehicles that earn them the most commission with little regard of your financial goals. If you already have $500,000 to invest and racking up $100,000 a month you probably qualify for most institutions private client programs. That means that the firm/advisor will look at your financial situation and come up with a custom-tailored investment plan for you which should also include tax planning. I would start with whatever financial institutions you already work with - Schwab, your bank etc. Set up a meeting and see what they have to offer. Make sure you interrogate them about their fees, their licenses/certifications and above all if they are a fiduciary."
21,5985,"If you are making that much, don't waste your time here. Pay a few hundred bucks for a consultation with a fee-only certified financial planner. (Not one of the ""free"" services, which make their money via commissions on sales and are thus motivated to direct you to whatever gets them the largest commission.) In fact, in your bracket you might want to consider hiring someone to manage your portfolio for you on an ongoing basis. A good one will start by asking what your goals are, over what timeframe, and will help you determine how you feel about risk and volatility. From that information they will be able to suggest a strategic mix of kinds of investments which is balanced for those constraints."
22,9443,"Many of my friends said I should invest my money on stocks or something else, instead of put them in the bank forever. I do not know anything about finance, so my questions are: First let me say that your friends may have the best intentions, but don't trust them. It has been my experience that friends tell you what they would do if they had your money, and not what they would actually do with their money. Now, I don't mean that they would be malicious, or that they are out to get you.  What I do mean, is why would you take advise from someone about what they would do with 100k when they don't have 100k. I am in your financial situation (more or less), and I have friends that make more then I do, and have no savings. Or that will tell you to get an IRA -so-and-so but don't have the means (discipline) to do so. Do not listen to your friends on matters of money. That's just good all around advise. Is my financial status OK? If not, how can I improve it? Any financial situation with no or really low debt is OK. I would say 5% of annual income in unsecured debt, or 2-3 years in annual income in secured debt is a good place to be. That is a really hard mark to hit (it seems). You have hit it. So your good, right now. You may want to ""plan for the future"". Immediate goals that I always tell people, are 6 months of income stuck in a liquid savings account, then start building a solid investment situation, and a decent retirement plan. This protects you from short term situations like loss of job, while doing something for the future.   Is now a right time for me to see a financial advisor? Is it worthy? How would she/he help me? Rather it's worth it or not to use a financial adviser is going to be totally opinion based. Personally I think they are worth it. Others do not. I see it like this. Unless you want to spend all your time looking up money stuff, the adviser is going to have a better grasp of ""money stuff"" then you, because they do spend all their time doing it. That being said there is one really important thing to consider. That is going to be how you pay the adviser. The following are my observations. You will need to make up your own mind.  Free Avoid like the plague. These advisers are usually provided by the bank and make their money off commission or kickbacks. That means they will advise you of the product that makes them the most money. Not you.  Flat Rate These are not a bad option, but they don't have any real incentive to make you money. Usually, they do a decent job of making you money, but again, it's usually better for them to advise you on products that make them money. Per Hour These are my favorite. They charge per hour. Usually they are a small shop, and will walk you through all the advise. They advise what's best for you, because they have to sit there and explain their choices. They can be hard to find, but are generally the best option in my opinion.   % of Money These are like the flat rate advisers to me. They get a percentage of the money you give them to ""manage"". Because they already have your money they are more likely to recommend products that are in their interest. That said, there not all bad. % or Profit These are the best (see notes later). They get a percentage of the money they make for you. They have the most interest in making you money. They only get part of what you get, so there going to make sure you get the biggest pie, so they can get a bigger slice. Notes In the real world, all advisers are likely to get kickbacks on products they recommend. Make sure to keep an eye for that. Also most advisers will use 2-3 of the methods listed above for billing. Something like z% of profit +$x per hour is what I like to see. You will have to look around and see what is available.  Just remember that you are paying someone to make you money (or to advise you on how to make money) so long as what they take leaves you with some profit your in a better situation then your are now. And that's the real goal."
23,5997,"The nature of this question (finding a financial adviser) can make it a conundrum. Those who have little financial experience are often in the greatest need of a financial adviser and at the same time are the least qualified to select one. I'm not putting you or anyone in particular in this category. And of course it's a sliding scale: In general the more capable you are of running your own finances the more prepared you are to answer this question. With that said, I would recommend backing up half a step. Consider advisers other than strictly fee-only advisers. Perhaps you have already considered this decision. But perhaps others reading this have not. My (Ameriprise) adviser charges a monthly (~$50) fee, but also gets percentage-based portions of certain investments. Based on a $150/hr rate that amounts to four hours per year. Does he spend four hours per year on my account? Well so far he does (~2 yrs). But that is determined primarily by how much interaction I choose to have with him. (I suppose I could spend more time asking him questions and less time on this forum. :P) I have never fully understood the gravitation towards fee-based advisers on principle. I guess the theory is they are not making biased decisions about your investments because they don't have as much of a stake in how well your investments to do. I don't necessarily see that as an advantage. It seems they would have less of an incentive to ensure the growth of your investments. Although if you're nearing retirement then growth isn't your biggest concern. Perhaps a fee-based adviser makes more sense in that scenario. Whatever pay structure your adviser uses, it would seem to make sense to consider a successful adviser with a good client base. This implies that the adviser knows what he/she is doing. (But it could also just be a sign that they are good at marketing themselves.) If your adviser has a good base of wealthy clients then choosing a strictly-fee based adviser would mitigate the risk of your adviser having less incentive to consider your portfolio vs that of more wealthy clients. To more directly answer your question I suggest asking several of your adviser candidates for advice on choosing an adviser. I suspect you will get some good advice as well as good insight on the integrity and honesty of the adviser."
