Rank,Index,Answer
1,8079,"If your financial needs aren't complex, and mostly limited to portfolio management, consider looking into the newish thing called robo-advisers (proper term is ""Automated investing services"").  The difference is that robo-advisers use software to manage portfolios on a large scale, generating big economy of scale and therefore offering a much cheaper services than personal advisor would - and unless your financial needs are extremely complex, the state of the art of scaled up portfolio management is at the point that a human advisor really doesn't give you any value-add (and - as other answers noted - human advisor can easily bring in downsides such as conflict of interest and lack of fiduciary responsibility).  disclaimer: I indirectly derive my living from a company which derives a very small part of their income from a robo-adviser, therefore there's a possible small conflict of interest in my answer"
2,601,"If you are looking for an advisor to just build a portfolio and then manage it, a robo-advisor can be beneficial (especially if the alternative is doing it your self, assuming that you are not well versed in the markets). The primary risk with one is that it does not build a portfolio that accurately represents your needs and risk tolerance. Some firms base the number of questions they ask you on sign up based not on what is needed to get a good profile, but on how many before people decide that it is too much hassle and bail. That usually results in poorer profiles. Also a live advisor may be better at really getting at your risk tolerance. Many of day our risk tolerance is one thing but in reality we are not so risk tolerant.  Once the profile is built. The algorithms maintain your portfolio on a day by day basis. If rebalancing opportunities occur they take advantage of it.  The primary benefit of a robo-advisor is lower fees or smaller minimum account balances. The downside is the lack of human interaction and financial advise outside of putting together a portfolio."
3,8080,"Most individuals do not need a personal financial advisor. If you are soon entering the world of work, your discretionary investments should be focused on index funds that you commit to over the long run. Indeed, the best advice I would give to anyone just starting out would be: For most average young workers, a financial advisor will just give you some version of the information above, but will change you for it. I would not recommend a financial advisor as a necessity until you have seriously complicated taxes. Your taxes will not be complicated. Save your money."
4,7268,"In my experience financial advisors do not normally assist with budgeting and personal everyday finance. There certainly are people who do that, but you would normally only consult them when you have financial difficulties, especially debt. The more common find of financial advisor is mostly focussed on advising you about savings and investments. A lot work for banks and investment companies. They will usually advise you for free, the downside being that they will only recommend their company's products. This may or may not be a bad thing, depending on the company. Others will charge you a commission on purchases, and their advice will be more neutral. This question will also be interesting: Are all financial advisors compensated in the same way?"
5,7265,"If you don't have the time or interest to manage investments, you need a financial advisor.  Generally speaking, you're better served by an advisor who collects an annual fee based on a percentage of your account value. Advisors who are compensated based on transactions have a vested interest to churn your account, which is often not in your best interest. You also need to be wary of advisors who peddle expensive mutual funds with sales loads (aka kick-backs to the advisor) or annuities. Your advisor's compensation structure should be transparent as well."
6,3414,"Yes, maybe for themselves, but for you that depends on quite a number of things. But not all advisors are scum, but accept the fact that you are their cash cow and you are there for their takings. Some advisors are true to their professions and advise ethically, trying to get the best for their clients. So search for a good advisor rather than a cheap one. And regarding the mortgage you are talking about, the mortgage provider and the mortgage taker don't deal directly, but use their solicitors. Every party wants the least of legal hassles for their transactions and get the best legal help. The financial advisor maybe both rolled into one or he has legal practitioners in his firm who would do the legal job after he takes care of the financial matters. Seems a cost effective workshop."
7,16701,"There is no rule of thumb (although some may suggest there is). Everybody will have different goals, investment preferences and risk tolerances. You need to figure this out by yourself by either education yourself in the type of investments you are interested in or by engaging (and paying for) a financial advisor. You should not be taking advice from others unless it is specifically geared for your goals, investment DNA and risk tolerance. The only advice I would give you is to have a plan (whether you develop it yourself or pay a financial advisor to develop one). Also, don't have all your savings sitting in cash, as long-term you will fall behind the eight ball in real returns (allowing for inflation)."
8,10369,"I thought the Finance Buff made a pretty solid argument for a financial advisor the other day: http://thefinancebuff.com/the-average-investor-should-use-an-investment-advisor-how-to-find-one.html But 1.5% is too expensive. The blog post at Finance Buff suggests several alternatives. He also has the great suggestion to use Vanguard's cheap financial planning service if you go with Vanguard. A lot of investing advice fails to consider the human factor. Sure it'd be great to rebalance exactly every 6 months and take precisely the amount of risk to theoretically maximize returns. But, yeah right. It's well-known that in the aggregate individual investors go to cash near market bottoms and then buy near market tops. It's not that they don't know the right thing to do necessarily, it's just that the emotional aspect is stronger than any of us expect. You shouldn't rely on sticking to your investments any more than you rely on sticking to your diet and exercise program ;-) the theoretically optimal solution is not the real-world-people-are-involved optimal solution. My own blog post on this suggests a balanced fund rather than a financial advisor, but I think the right financial advisor could well be a better approach: http://blog.ometer.com/2010/11/10/take-risks-in-life-for-savings-choose-a-balanced-fund/ Anyway, I think people are too quick to think of the main risk as volatility, and to think of investing as simple. Sure in theory it is simple. But the main risk is yourself. Fear at market bottoms, greed at market tops, laziness the rest of the time... so there's potential value in taking yourself out of the picture. The human part is the part that isn't simple. On whether to get a financial advisor in general (not just for investments), see also: What exactly can a financial advisor do for me, and is it worth the money?"
9,13856,"A financial advisor is a service professional.  It is his/her job to do things for you that you could do for yourself, but you're either too busy to do it yourself (and you want to pay somebody else), or you'd rather not. Just like some people hire tax preparers, or maids, or people to change their oil, or re-roof their houses. Me, I choose to self-manage.  I get some advise from Fidelity and Vanguard.  But we hired somebody this year to re-roof our house and someone else to paint it."
10,10050,"Yes, there is a profession that does exactly what you're looking for.  It's called a fee-only financial advisor. These are professionals who (in the United States) enter into a fiduciary relationship with a client, meaning they are legally required to put your financial interests above all other considerations (such as any behind-the-scenes incentives to promote certain products).  Between that requirement and the fact that they are paid for their time (and not on commission), they have zero incentive to try to sell you anything that you do not need.  Their only job is to help you with your financial situation.  (Of course, some of them may be better than others.) See the profession's website here to find such an advisor near you. (Credit to Marketplace Money, the old name for Marketplace Weekend, for mentioning fee-only advisors at least 87 times per show.)"
11,10894,"Any fee based financial adviser should be able to help you. I don't think you need to worry about finding a 401K specific adviser. I'm not even sure that's a thing. A good place to start is the National Association of Personal Financial Advisors. The reason I specifically mentioned a fee based adviser is that the free ones are working on sales commissions, which may influence them to give advice that is in their own best interest more than yours."
12,7148,"At 1.4 Million, you can definately afford a professional advisor who would give you the best advice taking into account all your goals and risk appetite."
13,11387,"Exactly what you do with the money depends on various personal choices you'll have to make for yourself.  Investing your money in Vanguard index funds such as the ones you mentioned is certainly one smart move.  However, I think you're quite right to be suspicious of an advisor with a 1% fee.  In many cases, such advisors are not worth their costs.  The thing to remember is that, typically with that type of fee structure, you always pay the costs, even if the advisor turns out to be wrong and your money doesn't grow. One thing to check is whether the advisor you mentioned is paid only by the fees he charges (a ""fee-only financial planner') , or whether he also makes money via the sales of financial products.  Some advisors earn money by selling you financial products (such as mutual funds), which can create a conflict of interest.  You can read about fee-only financial advisors and choosing a financial advisor on Investopedia."
14,7267,"Technically, anyone who advises how you should spend or proportion your money is a financial adviser.  A person that does it for money is a Financial Advisor (difference in spelling). Financial Advisors are people that basically build, manage, or advise on your portfolio.  They have a little more institutional knowledge on how/where to invest, given your goals, since they do it on a daily basis. They may know a little more than you since, they deal with many different assets: stocks, ETFs, mutual funds, bonds, insurances (home/health/life), REITs, options, futures, LEAPS, etc. There is risk in everything you do, which is why what they propose is generally according to the risk-level you want to assume.  Since you're younger, your risk level could be a little higher, as you approach retirement, your risk level will be lower.  Risk level should be associated with how likely you're able to reacquire your assets if you lose it all as well as, your likelihood to enjoy the fruits from your investments. Financial Advisors are great, however, be careful about them.  Some are payed on commissions, which are given money for investing in packages that they support.  Basically, they could get paid $$ for putting you in a losing situation.  Also be careful because some announce that they are fee-based - these advisers often receive fees as well as commissions.  Basically, associate the term ""commission"" with ""conflict-of-interest"", so you want a fee-only Advisor, which isn't persuaded to steer you wrong. Another thing worth noting is that some trading companies (like e*trade) has financial services that may be free, depending how much money you have with them.  Generally, $50K is on the lower end to get a Financial Advisors.  There has been corruption in the past, where Financial Advisors are only given a limited number of accounts to manage, that means they took the lower-valued ones and basically ran them into the ground, so they could get newer ones from the lot that were hopefully worth more - the larger their portfolio, the more $$ they could make (higher fees or more commissions) and subjectively less work (less accounts to have to deal with), that's subjective, since the spread of the wealth was accross many markets."
15,9446,"Others have mentioned the term fiduciary but haven't really gone in to what that is. Despite the name ""financial advisor"" there is no legal (In the US) mandate as to what that means.  Often times a financial advisor is little more than a sales rep whose job it is to sell particular financial instruments.  These people will give you good generic advice such as ""make sure you have a nest egg"" and ""don't spend more than you make"".  However when the rubber hits the road in terms of how to save they will often recommend/insist/pressure a particular asset/security which doesn't necessarily meet your risk/reward preference/tolerance.  Often times the assets they pitch have high fees.  These people won't charge you for their time because their time is a loss leader for the commissions they make on selling their products. In contrast a fiduciary's job responsibility is to look out for your interests.  They shouldn't receive any kind of payment based on what assets you buy.  This means that you have to pay them for their time. The NAPFA website seems to have good ideas on choosing an advisor. http://www.napfa.org/HowtoFindAnAdvisor.asp"
16,292,"I think the OP is getting lost in designations.  Sounds to me that what he wants is a 'financial advisor' not an 'investment advisor'.  Does he even have investments?  Does he want to be told which securities to buy?   Or is he wanting advice on overall savings, insurance, tax-shelters, retirement planning, mortgages, etc.  Which is a different set of skills - the financial advisor skill set. Accountants don't have that skill set.  They know operating business reporting, taxes and generally how to keep it healthy and growing.  They can do personal tax returns (as a favour to only the owners of the business they keep track of usually). IMO they can deal with the reporting but not the planning or optimization. But IMO the OP should just read up and learn this stuff for himself.  Accreditation mean nothing.  Eg.  the major 'planner' brand teaches factually wrong stuff about RRSPs - which are the backbone of Canadian's finances."
17,9441,"Whether your financial status is considered ""OK"" depends on your aspirations.  You aren't spending more than you earn and have no debt.  That puts you in the category of OK in my book, but the information in your post indicates that you would benefit from some financial advice--100 grand sounds like a lot of money to have in a bank unless you are on the verge of spending it. Financial advisors come in various shapes and sizes.  Many will charge you a lot for what turns out to be helpful advice in the first meeting, but very little value-added thereafter.  Some don't have the best incentives (they may be incentivized to encourage you to put your money into certain funds, for example). There are many financial advisors (of sorts) that you have access to that won't cost you anything.  For example, if you have a 401(k) at work, I bet there is a representative from the plan administrator that will meet with you for free.  If you open a brokerage account or IRA at any place (Fidelity, Vanguard, etc.) you can easily talk with one of their reps and get all sorts of advice.  My personal take is to meet with anyone who will meet with me for free, but not to pay anyone for this service.  It's too easy to get good advice and paying for it doesn't guarantee that you get better advice. Your financial situation will depend primarily on a few things you have not mentioned here.  For example, How much are you setting aside for retirement and what are your retirement goals?  This is something lots of people can give you advice on, but we don't know what market returns will be going forward so we don't really know.  One bit of advice that may benefit you is how to set aside money for retirement in the most tax advantaged way. How much do you feel that you need saved up for large expenses?  Thinking of starting a family?  How many months worth of income are you comfortable having set aside? What is your tolerance of risk?  If you put your money in risky assets, you may make more, but you may also actually lose money.  Those are the questions a financial advisor will ask about.  Once you have his/her advice--and preferrably after talking to a few advisors--you can make your own decision. Basically, your options are: Rules of thumb: Save only what makes sense to save in banks given your expected needs for cash. Put a lot in tax advantaged accounts (don't give Uncle Sam any gifts). Then look at financial and real investments. There are a number of free resources on the internet.  For example FutureAdvisor.  Or you can hit up the forums at BogleHeads.  Those guys give and receive financial advice as a hobby.  They aren't professionals, but you can get a lot of varying ideas and make up your own mind, which to me is better than (just) asking a professional. BTW, regarding the ESPP: these plans often give you a discount on stock and can therefore be a good idea.  Just be sure you don't hold the stock longer than you need to.  It's generally a bad idea to concentrate your wealth in any single investment, especially one highly correlated with your background risk (i.e., if the company does poorly you will already be worse off because you may lose your job or see fewer advancement opportunities. No need to add losses in your savings to that).  1 Please note: I am neither advocating nor discouraging buying guns, gold, or other controversial real assets.  I'm just giving examples of items some people buy as part of their wealth-preservation strategy."
18,7005,"I am a Certified Financial Planner and provide tactical advice on everything from budgeting to saving for retirement. You do not have to have any series exams or a CFP to do this work, although it helps give you credibility. As long as you DO NOT provide investment advice, you likely do not need to register as an investment advisor or need any certification."
19,11463,"Traditional brokers There are tons of players in this market, especially in USA. You have traditional brokers, brokers tied to your bank and a bunch of startups. The easiest is probably a broker tied to your bank, because you probably don't have to wait to fund your brokerage account and can start trading immediately. Often the older/traditional brokers don't have very intuitive interfaces, it's the startups who do a better job at this. But honestly it doesn't really matter, because you can use reporting services that are different from the services you use to execute your trades. Meaning that you only use the interface of your broker to execute trades (buy or sell), and use third party services to monitor your holdings. Monitoring services: Google Finance, Yahoo Finance, Sigfig, Morningstar,... are services allowing you to monitor your holdings. But you can't execute trades with them. Start-ups: Then there are a bunch of startups that offer investment services besides the traditional brokers. Start-up > Robinhood The most ambitious one is Robinhood, which offers the same service as a traditional broker, but completely free (most of the traditional brokers charge a flat fee and/or percentage when buying/selling hodlings) and with an intuitive interface. They're mobile first, but announced they will be launching their service on the web soon. Start-up > Acorns Another popular, mobile-first start-up is Acorns. They offer a lazy-investing service which rounds your everyday purchases and uses the change to invest. It's great when investing is not on your mind, but you still want to invest without realizing it. Start-ups > Robo-advisors Robo-advisors auto-invest your money across a bunch of funds picked based on your risk profile. Because the robo-advisers are fairly new, they often have the most intuitive interfaces. These robo-advisors often don't allow you to pick individual holdings, so these services are best when you want to passively invest. Meaning you don't want to look at it very often, and let them do the investing for you. There are tons of robo-advisor start-ups: Betterment, Wealthfront, Personal Capital, Sigfig, FutureAdvisor,... Also bigger parties jumped on this trend with their offerings: Schwab Intelligent Portfolios, Ally Managed Portfolio, Vanguard Personal Advisor, etc. Summary: It's fun to pick individual stocks, but if you start out it can be overwhelming. Robinhood is probably the best start, they have reduced functionality, but gets you going with an attractive interface. But soon you'll realize it's extremely hard to beat the market. Meaning that hand-picking stocks statistically gives you a worse return than just buying into the general stock market (like S&P500). So you can decide to just buy one fund with a traditional broker that covers the general stock market. Or you can decide to try out one of the many robo-advisors. They haven't been around that long, so it's hard to tell how effective these are and whether they beat the market. If you're young, and you believe in start-ups (who often try to challenge the traditional players), try out one of the robo-advisors. If you want to play a bit and are addicted to your smartphone, try out Robinhood. If you are addicted to your phone, but don't want to check up on your investments all the time, go for Acorns. Of course you can combine all these. Lastly, there are tons of cryptocurrencies which might give you a large return. Tons of startups offer intuitive interfaces to trade cryptocurrencies like Coinbase, Gemini, Kraken. But beware, there is a lot of risk involved in trading cryptocurrencies, it's completely unregulated etc. But definitely check them out. Oh, and you can also invest by giving out loans through LendingClub, Prosper etc. Who can you trust? Above gives you an overview of your options intermingled with some reasoning. But regarding your question ""who can I trust"" in terms of advice, it's up to yourself. Most traditional broker services don't give you any advice at all, you're on your own. Robo-advisors don't give you advice either, but let their proprietary algorithm do the job. Are these reliable? Nobody can tell, they haven't been around long enough, and they need to go through a bear market (a crash) to see how they respond during rough times. Some robo-advisors offer you personal consultancy (I believe Sigfig and PersonalCapital) does this (limited to a few hours per year). But obviously they'll try to promote their robo-advisor services."
20,9447,"Is my financial status OK?  You have money for emergencies in the bank, you spend less than you earn. Yes, your status is okay. You will have a good standard of living if nothing changes from your status quo. How can I improve it? You are probably paying more in taxes than you would if you made a few changes. If you max out tax advantaged retirement accounts that would reduce the up-front taxes you are paying on your savings. Is now a right time for me to see a financial advisor?  The best time to see a financial advisor is any time that your situation changes. New job? Getting married? Having a child? Got a big promotion or raise? Suddenly thinking about buying a house? Is it worth the money? How would she/he help me? If you pick an advisor who has incentive to help you rather than just pad his/her own pockets with commissions, then the advice is usually worth the money. If there is someone whose time is already paid for, that may be better.  For example, if you get an accountant to help you with your taxes and ask him/her how to best reduce your taxes the next year, the advice is already paid-for in the fee you for the tax help. An advisor should help you minimize the high taxes you are almost certainly paying as a single earner, and minimize the stealth taxes you are paying in inflation (on that $100k sitting in the bank)."
21,10802,"The way this works, as I understand it, is that financial advisers come in two kinds. Some are free to recommend you any financial products they think fit, but many are restricted in what they can recommend. Most advisers who work for finance companies are the second kind, and will only offer you products that their company sells. I believe they should tell you up front if they are the second kind. They should certainly tell you that if you ask. So in essence, your Scotiabank advisor is not necessarily making bad decisions for you - but they are restricted in what they will offer, and will not tell you if there is a better product for you that Scotiabank doesn't sell. In most cases, 'management fees' means something you pay to the actual managers of the fund you buy, not to the person who sells you the fund. You can compare the funds you are invested in yourself, both for performance and for the fees charged. Making frequent unnecessary changes of investment is another way that an advisor can milk you for money, but that is not necessarily restricted to bank-employed advisors. if you think that is happening to you, ask question, and change advisors if you are not happy."
22,1751,"You need to find a fiduciary advisor pronto. Yes, you are getting a large amount of money, but you'll probably have to deal with higher than average health expenses and lower earning potential for years to come. You need to make sure the $1.2 million lasts you, and for that you need professional advice, not something you read on the Internet. Finding a knowledgeable advisor who has your interests at heart at a reasonable rate is the key here.  These articles are a good start on what to look for: http://www.investopedia.com/articles/financialcareers/08/fiduciary-planner.asp https://www.forbes.com/sites/janetnovack/2013/09/20/6-pointed-questions-to-ask-before-hiring-a-financial-advisor/#2e2b91c489fe http://www.investopedia.com/articles/professionaleducation/11/suitability-fiduciary-standards.asp You should also consider what your earning potential is. You rule out college but at 26, you can have a long productive career and earn way more money than the $1.2 million you are going to get."
23,5997,"The nature of this question (finding a financial adviser) can make it a conundrum. Those who have little financial experience are often in the greatest need of a financial adviser and at the same time are the least qualified to select one. I'm not putting you or anyone in particular in this category. And of course it's a sliding scale: In general the more capable you are of running your own finances the more prepared you are to answer this question. With that said, I would recommend backing up half a step. Consider advisers other than strictly fee-only advisers. Perhaps you have already considered this decision. But perhaps others reading this have not. My (Ameriprise) adviser charges a monthly (~$50) fee, but also gets percentage-based portions of certain investments. Based on a $150/hr rate that amounts to four hours per year. Does he spend four hours per year on my account? Well so far he does (~2 yrs). But that is determined primarily by how much interaction I choose to have with him. (I suppose I could spend more time asking him questions and less time on this forum. :P) I have never fully understood the gravitation towards fee-based advisers on principle. I guess the theory is they are not making biased decisions about your investments because they don't have as much of a stake in how well your investments to do. I don't necessarily see that as an advantage. It seems they would have less of an incentive to ensure the growth of your investments. Although if you're nearing retirement then growth isn't your biggest concern. Perhaps a fee-based adviser makes more sense in that scenario. Whatever pay structure your adviser uses, it would seem to make sense to consider a successful adviser with a good client base. This implies that the adviser knows what he/she is doing. (But it could also just be a sign that they are good at marketing themselves.) If your adviser has a good base of wealthy clients then choosing a strictly-fee based adviser would mitigate the risk of your adviser having less incentive to consider your portfolio vs that of more wealthy clients. To more directly answer your question I suggest asking several of your adviser candidates for advice on choosing an adviser. I suspect you will get some good advice as well as good insight on the integrity and honesty of the adviser."
